GrLivArea,SalePrice
1996,5171647
1997,5254922
1998,5355593
1999,5480271
2000,5598759
2001,5692385
2002,5799288
2003,5901243
2004,5984509
2005,6098677
2006,6136984
2007,6227962
2008,6360507
2009,6461548
2010,6580426
2011,6677705
2012,6773024
2013,6869687
2014,6983275
2015,7127618
2016,7274468
2017,7408950
2018,7606365
2019,7825691
1990,806
1991,822
1992,836
1993,845
1994,873
1995,907
1996,932
1997,943
1998,955
1999,961
2000,981
2001,1004
2002,1008
2003,1034
2004,1050
2005,1058
2006,1084
2007,1103
2008,1132
2009,1139
2010,1137
2011,1163
2012,1179
2013,1193
2014,1222
2015,1261
2016,1304
2017,1350
2018,1395
2019,1436
2007,723
2008,719
2009,753
2012,761
1990,318
1991,338
1992,363
1993,371
1994,384
1995,430
1996,424
1997,447
1998,484
1999,534
2000,523
2001,531
2002,555
2003,591
2004,660
2005,693
2006,701
2010,767
2011,733
2013,798
2014,874
2015,872
2016,939
2017,1013
2018,1036
2019,1070
1990,8161
1991,8108
1992,7864
1993,7335
1994,7024
1995,6384
1996,6046
1997,6116
1998,6194
1999,6276
2000,6401
2001,6451
2002,6803
2003,7020
2004,7218
2005,7145
2006,7140
2007,7121
2008,7416
2009,7742
2010,8023
2011,8269
2012,8436
2013,8367
2014,8354
2015,8523
2016,8537
2017,8487
2018,8418
2019,8327
1990,202621
1991,203710
1992,203503
1993,206180
1994,209315
1995,213267
1996,216937
1997,219700
1998,224417
1999,232455
2000,243529
2001,249281
2002,255686
2003,259062
2004,259846
2005,261980
2006,262584
2007,263688
2008,264802
2009,264542
2010,258984
2011,254502
2012,253690
2013,255452
2014,254813
2015,260050
2016,262849
2017,265156
2018,268961
2019,274088
1990,7350
1991,7639
1992,7995
1993,8346
1994,8631
1995,8894
1996,9244
1997,9715
1998,10082
1999,10456
2000,10869
2001,11037
2002,11179
2003,11275
2004,11404
2005,11610
2006,11811
2007,12013
2008,12382
2009,12801
2010,13292
2011,13882
2012,14332
2013,14777
2014,15345
2015,15954
2016,16726
2017,17471
2018,17900
2019,18509
1990,23726
1991,24536
1992,25363
1993,25785
1994,26304
1995,26840
1996,27285
1997,27625
1998,28280
1999,28971
2000,29421
2001,29783
2002,30000
2003,30307
2004,30556
2005,30654
2006,30777
2007,31382
2008,31598
2009,31443
2010,31350
2011,31956
2012,32636
2013,32566
2014,32688
2015,33165
2016,33581
2017,33865
2018,34702
2019,35234
1990,97
1991,99
1992,100
1993,105
1994,108
1995,111
1996,114
1997,116
1998,119
1999,121
2000,123
2001,125
2002,127
2003,127
2004,125
2005,127
2006,130
2007,133
2008,135
2009,137
2010,139
2011,141
2012,142
2013,144
2014,145
2015,145
2016,148
2017,151
2018,154
2019,157
1990,133
1991,131
1992,131
1993,130
1994,127
1995,124
1996,123
1997,121
1998,122
1999,129
2000,132
2001,135
2002,139
2003,140
2004,143
2005,143
2006,146
2007,149
2008,152
2009,155
2010,158
2011,160
2012,155
2013,159
2014,163
2015,168
2016,177
2017,180
2018,184
2019,188
1991,
1990,89
1991,92
1992,95
1993,99
1994,102
1995,101
1996,101
1997,102
1998,105
1999,108
2000,114
2001,118
2002,123
2003,126
2004,128
2005,128
2006,133
2007,138
2008,143
2009,150
2010,154
2011,157
2012,164
2013,172
2014,179
2015,186
2016,191
2017,196
2018,200
2019,207
1990,3950
1991,4298
1992,4603
1993,4962
1994,5284
